user_id,age,gender,interest,country,city,device
b11a0fad-3777-4af2-877b-f17007a8cb90,29.0,Male,Sports,Liechtenstein,Michaelland,Desktop
214c1fd0-f691-4c19-8484-95918234787d,40.0,Other,Finance,France,Jonesfort,Mobile
45793c7c-4265-443f-8584-92097a28731a,54.0,Other,,Iraq,Jonesland,Desktop
608b4705-5a53-4c2e-95d5-86070ae6deae,44.0,Female,Health,French Polynesia,Howardview,Desktop
0920561d-f898-4065-82e4-ab9ae243a403,62.0,Male,Health,Afghanistan,Mitchellfort,Mobile
e05915a6-8d17-4a73-8715-a9f5adcfd008,19.0,Male,Food,Antarctica (the territory South of 60 deg S),Lake Gary,Desktop
4597e160-9a1b-4f78-a4ac-2bf6eb979a30,35.0,Other,Sports,Benin,Davidstad,Mobile
528fd8b3-6ba4-4ae8-9a3f-acceb0e330f6,58.0,Other,Health,Mali,Jennifershire,Desktop
3c3c2901-eaba-44a3-b9e9-aef1fe943314,41.0,Female,Travel,Estonia,Port Michellebury,Tablet
257b6c45-ec84-46ad-b34a-9af5313f82ae,65.0,Male,Sports,Iraq,East Gloria,Mobile
6fa63dad-e28d-47da-a0bf-377cac14353d,58.0,Other,Sports,Finland,Pricehaven,Mobile
012c9cc7-a6fe-4d74-b8ac-7db3e38dee29,27.0,Female,Tech,Singapore,Hillburgh,Mobile
29eb9aa1-6174-49ac-b906-e7db2b5c9425,44.0,Other,Travel,Tunisia,Port Connie,Desktop
2f9eea80-acd2-4da4-9c93-e734de7eb0ff,26.0,Female,Sports,Bahamas,Lake John,Mobile
4aaaf10a-35ef-4e89-922b-f0ba1165ea0b,43.0,Male,Travel,El Salvador,Lake Mary,Desktop
8d866b2f-7eed-4108-8d8d-6a6229630bf3,31.0,Female,Sports,Morocco,Bakerhaven,Desktop
fbe3e7fb-ec4b-4bcc-afd8-c6680305af7b,56.0,Male,Sports,Rwanda,Lake Kathrynbury,Mobile
aee9c67a-caa8-4f32-a053-3efad0bcc5c5,19.0,Other,Health,Jersey,South Chloe,Mobile
7893760c-08fe-48aa-a3b7-6e859f0a4f71,53.0,Other,Health,Mali,Davisburgh,Tablet
7ac91d7c-93f0-4310-8b3a-e4938bb5b28e,61.0,Male,Tech,Australia,New Christopherfurt,Mobile
8cbf0fb3-35b7-4086-b3c3-2c34a1e118dc,28.0,Other,Sports,Hong Kong,East Stevenview,Tablet
1e17c45d-925c-4edd-847c-d7f717a3e067,46.0,Female,Food,Mozambique,West Angelachester,Tablet
2f88fe5f-3786-4dd8-8718-35f337c14b19,21.0,Male,Health,Lesotho,South Ryanhaven,Tablet
d0fd024b-c53d-4f3e-8dc8-2716b88e85fb,55.0,Female,Travel,India,East Deniseside,Tablet
a0c172a8-f766-414e-ad55-a34b3a76f7e6,31.0,Female,Food,Libyan Arab Jamahiriya,Port Jon,Desktop
2bb5cdf8-c5bc-4400-8b28-c9be7c90a21f,22.0,Female,Sports,Vanuatu,Morenoshire,Desktop
bc281518-dfb1-4e2e-9f87-db457b13a989,64.0,Other,Food,Niue,Joshualand,Tablet
